id,name,description,original_price,price,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold,price_nghin,original_price_nghin,discount_pct,price_normalized,quantity_sold_normalized,review_count_normalized,price_binned,fulfillment_dropship,fulfillment_nan,fulfillment_seller_delivery,fulfillment_tiki_delivery
197518646,Giày nam - giày cao su lao động màu nâu bền đẹp,Chào Anh/Chị   ️Mẫu ảnh bên shop chụp ảnh thật nên các Anh/Chị yên tâm 100% như hình nhé.   ️Hãy INBOX ( Nhắn tin) cho shop để lấy size CHUẨN nha .  Shop cam kết hàng chuẩn xịn giá hợp lý ....,42000,42000,OEM,0,0.0,0,False,shop Văn Lang,365,6,0,False,Root,2,42.0,42.0,0.0,0.002857142857142857,0.0003683919690550746,0.0,Low,1,0,0,0
251852915,Tất nam thể thao mỏng kháng khuẩn khử mùi ONOFF - 18AE23A045,"Tất nam thể thao dành cho những anh chàng yêu vận động và thể thaoChất liệu mềm mại, thấm hút mồ hôi vượt trộiBăng vòng ôm chân vừa phảiChun mềm mại,Cho trẻ luôn thoải mái khi tham gia các hoạt độ...",59000,59000,ONOFF,0,0.0,0,False,ONOFF,151,2,1579,False,Giày thể thao nam cổ thấp,1,59.0,59.0,0.0,0.004013605442176871,0.0001841959845275373,0.0,Low,1,0,0,0
153258869,Giày nhựa,"MÔ TẢ SẢN PHẨM   Giày nhựa lỗ dùng để bảo hộ lao động và đi tập thể dục, đi chợ, đi trong xưởất nhiều chức năng.   Chất nhựa dẻo , dai nhựa đi rất êm chân và dễ đang vận động.   Màu sắc:...",42000,42000,OEM,1,5.0,0,False,haiquynh06,625,2,0,False,Root,1,42.0,42.0,0.0,0.002857142857142857,0.0001841959845275373,0.0010319917440660474,Low,1,0,0,0
216265999,Chỉ 48k - Giầy nam (149k giá cũ) - Sản phẩm cho khách hàng trải nghiệm với giá bán dưới giá gốc - Số lượng có hạn,Chỉ 48k - Giầy nam (149k giá cũ) - Sản phẩm cho khách hàng trải nghiệm với giá bán dưới giá gốc - Số lượng có hạn   Chào các bạn.   -Với mong muốn thu thu hút khách hàng vào tham quan sho...,78400,78400,OEM,0,0.0,0,False,KLshop123,222,9,0,False,Root,0,78.4,78.4,0.0,0.005333333333333333,0.0,0.0,Low,1,0,0,0
175978722,TEM PALESTINE 1998 - HOA.,"Bộ Tem Sưu Tầm   Chất lượng tem đẹp, không ố.   Thích hợp cho các bạn yêu thích tem sưu tầm.   Giao dịch toàn quốc giao hàng tận nơi - Đảm Bảo Uy Tín - Dịch vị hậu mãi tốt   ...",49000,49000,OEM,0,0.0,0,False,Thu Phương Tem Tiền,510,5,0,False,Root,0,49.0,49.0,0.0,0.0033333333333333335,0.0,0.0,Low,1,0,0,0
251448783,"Giày sneaker hàn quốc, thể thao nam trắng, giày nam đen trắng trẻ trung BELIFA STORE mã A02S","SNEAKERSản phẩm giày sneaker nam chuẩn 100% như hìnhGiao hàng trên toàn quốcĐổi size giày sneaker nam nếu không vừa, thời gian trong 7 ngày.=============================ĐẶC ĐIỂM SẢN PH...",138000,69000,OEM,2,5.0,0,False,BELIFA STORE,153,3,0,False,Giày thể thao nam cổ thấp,3,69.0,138.0,50.0,0.004693877551020408,0.0005525879535826119,0.0020639834881320948,Low,1,0,0,0
108382638,Giày Thể Thao Nam Sneaker Tập Gym Thể Dục Dã Ngoại Đi Làm Đi Học Êm Chân Mềm Giá Rẻ Thoáng Chân G184,"THÔNG TIN SẢN PHẨMChất liệu bề mặt: Vải sợi dệt thoáng khí cao cấpChất liệu đế: Cao su nguyên chấtMàu sắc: Đen – Vàng️ Form giày ôm chân, thiết kế trẻ trung, hiện đại️ Kiểu dáng cơ bản, năng động...",88000,88000,OEM,1,1.0,0,False,Shop Giày Song Ngọc,810,8,2355,False,Giày thể thao nam cổ thấp,6,88.0,88.0,0.0,0.00598639455782313,0.0011051759071652237,0.0010319917440660474,Low,1,0,0,0
149932258,Giày Thể Thao Nam Vải Thoáng Khí Đế Đúc Êm Chân S96 Có 2 Màu (Size39-43),THÔNG TIN SẢN PHẨM :️ Mã Giày:GN96️ Kiểu dáng :Thể Thao/Sneakers ️: Màu :Xanh Thậm️ Kích thước ( Size ) : 39-40 - 41 - 42 - 43 - 44. ️ Chất liệu.Sợi fabric- da lộn️ Chất liệu đế : Cao su non đúc nguyê...,79000,79000,OEM,2,3.5,0,False,Shop Giày Song Ngọc,635,3,2115,False,Giày thể thao nam cổ thấp,8,79.0,79.0,0.0,0.0053741496598639455,0.0014735678762202984,0.0020639834881320948,Low,1,0,0,0
188689953,giày bata nam có 2 mầu đen trắng đế kếp đinh chất liệu vải mềm ôm chân(39-43),...,69999,69999,OEM,0,0.0,0,False,Giày dép Hằng Trường,440,5,0,False,Giày thể thao nam cổ thấp,3,69.999,69.999,0.0,0.004761836734693878,0.0005525879535826119,0.0,Low,1,0,0,0
168765342,"Giày nam mẫu mới hot trend 2021 kiểu dáng thể thao, trẻ trung năng động 3 sọc kẻ k5","Đế giày cao su non cao cấp đi êm chân, chống trơn trượtLót giày thông hơi, thoáng khí đi cực êm chânMặt giày: da nhân tao cao cấp️Đủ size Nam: 39 - 43️Hàng chất lượng️Quý khách cứ yên tâm , chúng...",68000,68000,OEM,6,4.0,0,False,Shop Giày Song Ngọc,550,3,1820,False,Giày thể thao nam cổ thấp,15,68.0,68.0,0.0,0.004625850340136055,0.0027629397679130594,0.006191950464396285,Low,1,0,0,0
114647933,"Giày Thể Thao Nam SSN65 MẦU ĐEN chất liệu vải dệt  thoáng khí khử mùi hôi chân,đi chơi,tập gym thể thao",CHÀO MỪNG BẠN GHÉ THĂM SHOP GIÀY THỂ THAO NAM SSN ️ Các chương trình khuyến mại bất ngờ cực kỳ hấp dẫn sẽ có tại Shop mời bạn ấn theo dõi để biết thêm chi tiết ️ FRRESHIP / HỖ TRỢ PHÍ VẬN CHUYỂN ( K...,78000,78000,OEM,1,5.0,0,False,SONGNGỌC241,782,5,2088,False,Giày thể thao nam cổ thấp,6,78.0,78.0,0.0,0.005306122448979592,0.0011051759071652237,0.0010319917440660474,Low,1,0,0,0
207295152,Giày bata Thượng Đình đế kếp,Nhà sản xuất: Thượng ĐìnhNước sản xuất: Việt NamTiêu chuẩn chất lượng: Tiêu chuẩn Việt NamChất liệu: Bằng vải bạt mềmTính năng: Chống trơn trượt....,74000,74000,No Brand,1,5.0,0,False,Bảo hộ lao động phúc vinh,287,4,0,False,Giày thể thao nam cổ thấp,14,74.0,74.0,0.0,0.005034013605442177,0.0025787437833855223,0.0010319917440660474,Low,1,0,0,0
208017395,Giày nam thể thao thời trang mẫu mới,"Thiết kế kiểu dáng thể thao khỏe khoắn   Đường may tỉ mỉ, tinh tế   Đế giày êm ái, chống trơn trượt tốt   Dễ kết hợp với các trang phục khác nhau   Mô phỏng các khối bọt khí trong nước ...",49000,49000,OEM,5,4.0,0,False,Tizinis,283,8,0,False,Root,27,49.0,49.0,0.0,0.0033333333333333335,0.004973291582243507,0.005159958720330237,Low,1,0,0,0
73478101,Giày sneaker thể thao nam buộc dây siêu nhẹ V266,Giày sneaker thể thao nam buộc dây siêu nhẹ V266Size 39 phù hợp chiều dài Giày dép là 24.5 cmSize 40 phù hợp chiều dài Giày dép là 25.0 cmSize 41 phù hợp chiều dài Giày dép là 25.5 cmSize 42 phù hợp c...,69000,69000,OEM,51,4.1,0,False,Jay_shop,1015,9,0,False,Giày thể thao nam cổ thấp,150,69.0,69.0,0.0,0.004693877551020408,0.027629397679130595,0.05263157894736842,Low,1,0,0,0
108883351,Giày Thể Thao Nam_giày sneakes kiểu dáng đẹp đế siêu bền đi lại nhẹ nhàng cá tính hd64(xả rẻ),Shop CAM KẾT  ️Về sản phẩm: Shop cam kết cả về chất liệu cũng như hình dáng ( đúng với những gì được nêu bật trong phần mô tả sản phẩm).️Về giá cả: Shop nhập với số lượng nhiều và trực tiếp nên chi...,69000,69000,OEM,10,4.3,0,False,Shop Giày Song Ngọc,807,10,1847,False,Giày thể thao nam cổ thấp,28,69.0,69.0,0.0,0.004693877551020408,0.005157487566771045,0.010319917440660475,Low,1,0,0,0
179918869,Giày Sneaker Thể Thao Nam Kene 2021 cực hót,Thông Tin Sản Phẩm :   - Chất liệu mặt trong : Vải khử mùi   - Chất liệu mặt ngoài : Dệt sợ cao cấp   - Chất liệu đế : Cao su non đúc   - Size : Đủ size dành cho nam   - Mã sản phẩm : ...,78000,78000,OEM,2,5.0,0,False,SONGNGỌC241,487,9,2088,False,Root,3,78.0,78.0,0.0,0.005306122448979592,0.0005525879535826119,0.0020639834881320948,Low,1,0,0,0
198542702,"Giày thể thao nam đế cao su thời trang, thoải mái khi vận động A03","Tiêu chí chất lượngThông tin sản phẩm giày nam -Chất liệu vải dệt cao cấp khiến giày sneaker thoáng khí không gây mùi-Đế giày thể thao thiết kế 3D mang lại sự êm ái khi đi-Thiết kế phong cách, tr...",88000,88000,OEM,8,4.5,0,False,SONGNGỌC241,351,8,2355,False,Giày thể thao nam cổ thấp,23,88.0,88.0,0.0,0.00598639455782313,0.004236507644133358,0.008255933952528379,Low,1,0,0,0
146282322,Giày bata nhựa EVA đi mưa siêu nhẹ- Giày thể thao nam nữ êm chân chống nước iDÉP GL012,GIÀY NHỰA LƯỜI SNEAKER NAM NỮ ĐI MƯA ĐÚC SIÊU NHẸ NGUYÊN KHỐI  GIÀY ĐI BIỂN Đôi giày nên có trong cốp xe mùa mưa ngập - Với:  Đế và mũ giày được đúc-ép liền khối bằng chất liệu nhựa xốp EVA  SIÊU N...,69000,69000,OEM,0,0.0,0,False,IDÉP Giày Dép Nam Nữ,255,2,0,False,Giày thể thao nam cổ thấp,1,69.0,69.0,0.0,0.004693877551020408,0.0001841959845275373,0.0,Low,1,0,0,0
47896033,Giày thể thao nam sneaker nam mẫu mới nhất V212,"Giày thể thao nam , giày sneaker nam mẫu mới nhất V212Size 39 phù hợp chiều dài Giày dép là 24.5 cmSize 40 phù hợp chiều dài Giày dép là 25.0 cmSize 41 phù hợp chiều dài Giày dép là 25.5 cmSize 42 phù...",59000,59000,OEM,34,3.9,0,False,Jay_shop,1329,8,0,False,Thời Trang,261,59.0,59.0,0.0,0.004013605442176871,0.04807515196168723,0.03508771929824561,Low,1,0,0,0
52087500,"Giày nam, chất thoáng mát, thời trang, phong cách Hàn Quốc, phù hợp cho mùa hè G36","- Chất liệu Cao Cấp, Đế Cao su, phong cách thời trang, khó bám bẩN - Đế Giày Độn Giúp Các Bạn Nam Tăng Thêm CHIỀU CAO.  Đi Cực Dẻo Dai Chống Trơn Trượt Mũi Giày Tròn Theo From ChânTạo Cảm Giác Tho...",115648,115648,OEM,3,4.3,0,True,Topcomshop VN,1255,4,0,False,Thời Trang,6,115.648,115.648,0.0,0.00786721088435374,0.0011051759071652237,0.0030959752321981426,Medium,1,0,0,0
214842133,GIÀY  THƯỢNG ĐÌNH (BUỘC DÂY),"Giày bata Thượng Đình (buộc dây)Giày bata Thượng Đình (buộc dây) – thương hiệu giày đã gắn liền với bao thế hệ Việt chúng ta.Giày vừa nhẹ, bền, giá cả lại phải chăng nên nhận được sự tin dùng của rất...",88000,88000,OEM,0,0.0,0,False,Bảo hộ lao động phúc vinh,173,3,0,False,Giày thể thao nam cổ thấp,1,88.0,88.0,0.0,0.00598639455782313,0.0001841959845275373,0.0,Low,1,0,0,0
73505125,Giày sneaker thể thao nam thời trang buộc dây siêu nhẹ V262,Giày sneaker thể thao nam thời trang buộc dây siêu nhẹ V262Size 39 phù hợp chiều dài Giày dép là 24.5 cmSize 40 phù hợp chiều dài Giày dép là 25.0 cmSize 41 phù hợp chiều dài Giày dép là 25.5 cmSize 4...,69000,69000,OEM,42,4.6,0,False,Phatdat,1014,9,0,False,Giày thể thao nam cổ thấp,94,69.0,69.0,0.0,0.004693877551020408,0.017314422545588508,0.043343653250773995,Low,1,0,0,0
107804180,Giày Thể Thao Nam_Giày Sneakes cao 4cm mang đi nhẹ thoáng khí s65,CHÀO MỪNG BẠN GHÉ THĂM SHOP GIÀY THỂ THAO NAM SSN ️ Các chương trình khuyến mại bất ngờ cực kỳ hấp dẫn sẽ có tại Shop mời bạn ấn theo dõi để biết thêm chi tiết ️ FRRESHIP / HỖ TRỢ PHÍ VẬN CHUYỂN ( K...,69000,69000,OEM,3,4.7,0,False,Shop Giày Song Ngọc,810,6,1847,False,Giày thể thao nam cổ thấp,10,69.0,69.0,0.0,0.004693877551020408,0.001841959845275373,0.0030959752321981426,Low,1,0,0,0
251442796,"Giày sneaker hàn quốc, thể thao nam trắng, giày nam đen trắng trẻ trung BELIFA STORE mã TVD","SNEAKERSản phẩm giày sneaker nam chuẩn 100% như hìnhGiao hàng trên toàn quốcĐổi size giày sneaker nam nếu không vừa, thời gian trong 7 ngày.=============================ĐẶC ĐIỂM SẢN PH...",158000,79000,OEM,0,0.0,0,False,BELIFA STORE,153,3,0,False,Giày thể thao nam cổ thấp,2,79.0,158.0,50.0,0.0053741496598639455,0.0003683919690550746,0.0,Low,1,0,0,0
